Tag.applicationname,Tag.cvsappid,Routes.AddressPrefix,Location
,,0.0.0.0/0,centralus
,APM0000000,0.0.0.0/0,centralus
,APM0001384,0.0.0.0/0,centralus
,APM0001385,0.0.0.0/0,centralus
,APM0001447,0.0.0.0/0,centralus
,APM0001461,0.0.0.0/0,centralus
,APM0001629,0.0.0.0/0,centralus
,APM0001684,0.0.0.0/0,centralus
,APM0001829,0.0.0.0/0,centralus
,APM0001865,0.0.0.0/0,centralus
,APM0002002,0.0.0.0/0,centralus
,APM0002134,0.0.0.0/0,centralus
,APM0002550,0.0.0.0/0,centralus
,APM0002712,0.0.0.0/0,centralus
,APM0003045,0.0.0.0/0,centralus
,APM0003108,0.0.0.0/0,centralus
,APM0003111,0.0.0.0/0,centralus
,APM0003288,0.0.0.0/0,centralus
,APM0003585,0.0.0.0/0,centralus
,APM0003714,0.0.0.0/0,centralus
,APM0003729,0.0.0.0/0,centralus
,APM0005299,0.0.0.0/0,centralus
,APM0005335,0.0.0.0/0,centralus
,APM0005506,0.0.0.0/0,centralus
,APM0006045,0.0.0.0/0,centralus
,APM0006640,0.0.0.0/0,centralus
,APM0006849,0.0.0.0/0,centralus
,APM0007588,0.0.0.0/0,centralus
,APM0007975,0.0.0.0/0,centralus
,APM0008014,0.0.0.0/0,centralus
,APM0008253,0.0.0.0/0,centralus
,APM0008294,0.0.0.0/0,centralus
,APM0008507,0.0.0.0/0,centralus
,APM0008512,0.0.0.0/0,centralus
,APM0008675,0.0.0.0/0,centralus
,APM0008905,0.0.0.0/0,centralus
,APM0009041,0.0.0.0/0,centralus
,APM0009085,0.0.0.0/0,centralus
,APM0009112,0.0.0.0/0,centralus
,APM0009332,0.0.0.0/0,centralus
,APM0009775,0.0.0.0/0,centralus
,APM0010174,0.0.0.0/0,centralus
,APM0010333,0.0.0.0/0,centralus
,APM0010763,0.0.0.0/0,centralus
,APM0010765,0.0.0.0/0,centralus
,APM0010841,0.0.0.0/0,centralus
,apm0010890,0.0.0.0/0,centralus
,APM0010906,0.0.0.0/0,centralus
,APM0010931,0.0.0.0/0,centralus
,APM0011070,0.0.0.0/0,centralus
,APM0011213,0.0.0.0/0,centralus
,APM0011813,0.0.0.0/0,centralus
,APM0011867,0.0.0.0/0,centralus
,APM0012016,0.0.0.0/0,centralus
,APM0012144,0.0.0.0/0,centralus
,APM0012511,0.0.0.0/0,centralus
,APM0012649,0.0.0.0/0,centralus
,APM0012672,0.0.0.0/0,centralus
,APM0012811,0.0.0.0/0,centralus
,APM0012882,0.0.0.0/0,centralus
,APM0012929,0.0.0.0/0,centralus
